Symbol	Description
DBN	WISDOMTREE INTERNATI
DBO	PowerShares DB Multi-Sector Commodity Trust
DBP	PowerShares DB Multi-Sector Commodity Trust
DBR	WISDOMTREE INTERNATI
DBS	PowerShares DB Multi-Sector Commodity Trust
DBT	WISDOMTREE INTERNATI
DBU	WISDOMTREE INTERNATI
DBV	PowerShares DB G10 Currency Harvest Fund
DBY	MORGAN STANLEY
DCU	DRYCLEAN USA Inc.
DCV	Morgan Stanley
DCX	STRATEGIC ACC REDEM
DDD	SCOLR Inc
DDG	ProShares Trust
DDI	WISDOMTREE INTERNATI
DDM	ProShares Trust
DDP	DB COMMODTY SHRT ETN
DEB	WISDOMTREE EUR TDIV
DEE	DB COMMODITY DS ETN
DEF	Claymore Exchange-Traded Fund Trust
DEJ	Dejour Enterprises Ltd
DEK	Dekania Corp
DEK.U	Dekania Corp
DEK.W	Dekania Corp
DEM	WISDOM TREE TRUST $0.001
DES	WISDOMTREE SC DIV
DEV	Merrill Lynch & Co. Inc.
DEW	WISDOMTREE EU HI YLD
DFE	WISDOMTREE EU SC DIV
DFJ	WISDOMTREE JAP SC
DFR	DEERFIELD CAPITAL CP
DGC	DGSE Companies Inc.
DGG	WISDOMTREE INTERNATI
DGK	Merrill Lynch & Co. Inc.
DGL	PowerShares DB Multi-Sector Commodity Trust
DGP	DB GOLD DBL LG ETN
DGS	WISDOMTREE EM MKTS
DGT	streetTRACKS Dow Jones Global Titans Index Fund
DGZ	DB GOLD SHORT ETN
DHS	WISDOMTREE H-Y EQ TR
DHY	Credit Suisse High Yield Bond Fund
DIA	DIAMONDS Trust Series I
DIG	ProShares Trust
DII	Decorator Industries Inc.
DIM	WISDOMTREE INTL MC
DIT	AMCON Distributing Company
DJL	Merrill Lynch & Co. Inc.
DJP	Morgan Stanley Dean Witter & Co.
DKA	WISDOMTREE INTERNATI
DL	CHINA DISTANCE EDUC
DLA	Delta Apparel Inc.
DLN	WISDOMTREE LC DVDND
DLS	Del Laboratories, Inc.
DMC	Document Security Systems Inc.
DMF	Dreyfus Municipal Income Inc.
DMJ	Morgan Stanley Dean Witter & Co.
DMY	Merrill Lynch & Co. Inc.
DND	WisdomTree Pacific ex-Japan Total Dividend Fund
DNE	Dune Energy Inc.
DNH	WisdomTree Pacific ex-Japan High-Yielding Equity Fund
DNL	WisdomTree Japan High-Yielding Equity Fund
DNN	Intl Uranium Corp
DOD	ELEMENTS DOGS OF DOW
DOG	ProShares Trust
DOL	WISDOMTREE INTL LC
DON	WISDOMTREE MC DIV
DOO	WisdomTree International Dividend Top 100 Fund
DOY	MACROshares $100 Oil Down Trust
DPC	WISDOMTREE INTERNATI
DPK	DEVELOPED MKTS BEAR3
DPN	WISDOMTREE INTERNATI
DPU	DB COMMODITY LONG ET
DPW	Digital Power Corporation
DRF	WISDOMTREE INTERNATI
DRJ	Dreams Inc.
DRR	MORGAN STANLEY
DRW	WisdomTree Trust
DSC	SPDR Series Trust
DSG	streetTRACKS Dow Jones U.S. Small Cap Growth Index Fund
DSI	iShares Trust
DSP	SP Acquisition Holdings Inc
DSP.U	SP Acquisition Holdings Inc
DSP.W	SP Acquisition Holdings Inc
DSV	streetTRACKS Dow Jones U.S. Small Cap Value Index Fund
DTD	WISDOMTREE TTL DIV
DTH	WISDOMTREE DIEFA HY
DTN	WISDOMTREE DIV 100
DTO	POWERSHARES DB CRUDE
DUG	ProShares Trust
DVK	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
DVY	Ishares Dow Jones Select Dividend Index Fund
DWM	WISDOMTREE DIEFA
DWX	SPDR Index Fund
DXD	ProShares Trust
DXJ	WISDOMTREE JAP TDIV
DXN	DigitalFX International Inc.
DXO	POWERSHARES DB CRUDE
DXR	Daxor Corporation
DYY	DB COMMODITY DL ETN
DZK	DEVELOPED MKTS BULL3
DZZ	DB GOLD DBL SH ETN
EAD	Evergreen Income Advantage Fund
EAG	American Defense Systems Inc
EAP	Citigroup Inc.
EAR	HearUSA Inc.
EAZ	Citigroup Inc.
EBY	Citigroup Inc.
ECB	Citigroup Inc.
ECF	Ellsworth Convertible Growth and Income Fund Inc.
ECH	ISHARES MSCI CHILE
ECK	CITIGROUP FUNDING IN
EDA	Citigroup Inc.
EDC	EMERGING MKTS BULL3
EDV	Vanguard World Funds
EDZ	EMERGING MKTS BEAR3X
EEB	Claymore Exchange-Traded Fund Trust
EEE	Evergreen Energy Inc
EEH	ELEMENTS LINKED TO THE SPECTRU
EEM	Ishares Msci Emerging Index Fund
EEN	Claymore Exchange-Traded Fund Trust 2
EES	WisdomTree Trust
EEV	ProShares Trust
EEZ	WisdomTree Trust
EFA	Ishares Msci Eafe Index Fund
EFD	ACC RTN NTS MSCI EAF
EFG	Ishares
EFP	Morgan Stanley Dean Witter & Co.
EFS	MEERRILL LYNCH
EFU	ProShares Trust
EFV	Ishares
EFZ	ProShares Trust
EGI	Entree Gold Inc
EGJ	Citigroup Inc.
EGK	Citigroup Inc.
EGO	Eldorado Gold Corp
EGT	Elixir Gaming Technologies Inc
EGX	Engex Inc.
EHC	Citigroup Inc.
EHD	Citigroup Global Funding
EHP	Citigroup Inc.
EIA	Eaton Vance Insured California Municipal Bond Fund II
EIM	Eaton Vance Insured Municipal Bond Fund
EIO	Eaton Vance Insured Ohio Municipal Bond Fund
EIP	Eaton Vance Insured Pennsylvania Municipal Bond Fund
EIS	ISHARES MSCI ISRAEL
EIV	Eaton Vance Insured Municipal Bond Fund II
EJC	Citigroup Inc.
EJQ	CITIGROUP
EJS	Citigroup Inc.
EKC	Citigroup Inc.
EKG	Citigroup Global Markets
EKH	Merrill Lynch Europe 2001 HOLDRS
EKJ	Citigroup Inc.
EKK	Citigroup Inc.
EKV	Citigroup Inc.
ELC	Structured Product Merrill Lynch
ELG	streetTRACKS Dow Jones U.S. Large Cap Growth Index Fund
ELI	Elite Pharmaceuticals Inc.
ELJ	Citigroup Inc.
ELQ	CITIGROUP FUNDING IN
ELR	SPDR Series Trust
ELU	Merrill Lynch & Co. Inc.
ELV	streetTRACKS Dow Jones U.S. Large Cap Value Index Fund
EMB	ISHARES JP MORGAN
EMG	SPDR Series Trust
EMI	Eaton Vance Michigan Municipal Income Trust
EMJ	Eaton Vance Insured New Jersey Municipal Bond Fund
EML	Eastern Company (The)
EMM	SPDR Series Trust
EMV	SPDR Series Trust
ENA	Enova Systems Inc.
END	Endeavor International Corporation
ENX	Eaton Vance Insured New York Municipal Bond Fund
ENY	Claymore Exchange-Traded Fund Trust 2
EOA	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
EPH	Community Bankers Trust Corporation.
EPI	WISDOMTREE INDIA
EPM	Evolution Petroleum Corporation Inc.
EPP	Ishares Msci Pacific Ex-japan Index Fund
EPS	WisdomTree Trust
ERC	Evergreen Multi-Sector Income Fund
ERH	Evergreen Utilities and High Income Fund
ERI	EMRISE CORPORATION
ERO	IPATH EUR/USD EXCHAN
ERS	Empire Resources Inc.
ERX	ENERGY BULL 3X
ERY	ENERGY BEAR 3X
ESA	Energy Services Acquisition Corp
ESA.U	Energy Services Acquisition Corp
ESA.W	Energy Services Acquisition Corp
ESM	Citigroup Inc.
ESP	Espey Mfg. & Electronics Corp.
EST	Enterprise Acquisition Corp.
EST.U	Enterprise Acquisition Corp.
EST.W	Enterprise Acquisition Corp.
ETC	Environmental Tectonics Corp.
ETF	Emerging Markets Telecommunications Fund (The)
ETQ	Corriente Res Inc
EU	WISDOMTREE DREYFUS
EUM	ProShares Trust
EUO	PROSHS ULTRASHT EURO
EVJ	Eaton Vance New Jersey Municipal Income Trust
EVK	Ever-Glory International Group Inc.
EVM	Eaton Vance Insured California Municipal Bond Fund
EVO	Eaton Vance Ohio Municipal Income Trust
EVP	Eaton Vance Pennsylvania Municipal Income Trust
EVV	Eaton Vance Duration Income Fund
EVX	Market Vectors ETF Trust
EVY	Eaton Vance New York Municipal Income Trust
EWA	iShares MSCI Australia Index Fund
EWC	iShares MSCI Canada Index Fund
EWD	Ishares Msci Sweden Index Fund
EWG	iShares MSCI Germany Index Fund
EWH	iShares MSCI Hong Kong Index Fund
EWI	Ishares Msci Italy Index Fund
EWJ	Ishares Msci Japan Index Fund
EWK	iShares MSCI Belgium Index Fund
EWL	Ishares Msci Switzerland Index Fund
EWM	Ishares Msci Malaysia Index Fund
EWN	Ishares Msci Netherlands Index Fund
EWO	iShares MSCI Austria Index Fund
EWP	Ishares Msci Spain Index Fund
EWQ	iShares MSCI France Index Fund
EWS	Ishares Msci Singapore Index Fund
EWT	Ishares Msci Taiwan Index Fund
EWU	Ishares Msci United Kingdom Index Fund
EWV	ProShares Trust
EWW	iShares MSCI Mexico Index Fund
EWX	SPDR Index Fund
EWY	Ishares Msci South Korea Index Fund
EWZ	Ishares Msci Brazil Index Fund
EXB	Claymore Exchange-Traded Fund Trust 2
EXI	ISHARES S& P GLOBAL
EXK	Endeavour Silver Corporation
EXT	WisdomTree Trust
EXX.A	EXX Inc.
EXX.B	EXX Inc.
EYA	Citigroup Inc.
EYJ	Citigroup Inc.
EYW	Citigroup Inc.
EZA	Ishares Msci South Africa Index Fund
EZM	WisdomTree Trust
EZU	iShares MSCI EMU Index Fund
EZY	WisdomTree Trust
FAA	CLAYMORE AIRLINE ETF
FAB	First Trust Exchange-Traded Fund
FAD	First Trust Exchange-Traded Fund
FAN	FIRST TRUST ISE GLBL
FAS	FINANCIAL BULL 3X
FAX	Aberdeen Asia-Pacific Income Fund Inc
FAZ	FINANCIAL BEAR 3X
FBT	First Trust Amex  Biotechnology Index Fund
FCG	FT ISE REVERE NAT GS
FCM	First Trust/Four Corners Senior Floating Rate Income Fund
FCO	Aberdeen Global Income Fund Inc.
FDD	First Trust Exchange-Traded Fund II
FDL	First Trust Morningstar Dividend Leaders Index Fund
FDM	First Trust Dow Jones Select MicroCap Index(sm) Fund
FDN	First Trust Dow Jones Internet Indexsm Fund
FDV	First Trust DB Strategic Value Index Fund
FEN	Energy Income and Growth Fund
FEP	Franklin Electronic Publishers Inc.
FEU	Fresco Dj Stoxx 50
FEV	Eaton Vance Florida Municipal Income Trust
FEX	First Trust Exchange-Traded Fund
FEZ	Fresco Dj Euro Stoxx 50
FFI	Fortune Diversified Industries Inc.
FFR	First Trust Exchange-Traded Fund II
FGD	First Trust Exchange-Traded Fund II
FHC	Female Health Company (The)
FIO	ISHS FTS NRT I/O IDX
FIT	FAB Industries, Inc.
FIW	FT ISE WATER INDEX
FLL	Full House Resorts Inc.
FLM	FIRST TRUST ISE GLBL
FNI	FT ISE CHINDIA IDX
FNX	First Trust Exchange-Traded Fund
FOA	Merrill Lynch & Co. Inc.
FOH	Frederick's of Hollywood Group
FPB	Fountain Powerboat Industries Inc.
FPI	First Trust Advantage Preferred Income Fund
FPP	FieldPoint Petroleum Corporation
FPU	Florida Public Utilities Company
FPX	First Trust IPOX-100 Index Fund
FRC	NETS CAC40 INDEX FUN
FRD	Friedman Industries Inc.
FRG	Fronteer Development Group Inc.
FRI	First Trust S&P REIT Index Fund
FRN	Friendly Ice Cream Corporation
FRS	Frisch's Restaurants Inc.
FSI	Flexible Solutions International Inc.
FSN	Fusion Telecommunications International Inc.
FSN.W	Fusion Telecommunications International Inc.
FSP	Franklin Street Properties Corp.
FTA	First Trust Exchange-Traded Fund
FTC	First Trust Exchange-Traded Fund
FTF	Franklin Templeton Duration Income Trust
FTY	ISHS FTS NRT RE 50
FUD	E-TRACS UBS BLOOMBER
FUE	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
FVD	First Trust Value Line  Dividend Index Fund
FVE	Five Star Quality Care Inc.
FVI	First Trust Value Line Equity Allocation Index(sm)Fund
FVL	First Trust Value Line  100 Exchange-Traded Fund
FWV	First West Virginia Bancorp Inc.
FXA	CRRNCYSHR AUS DLR TR
FXB	CRRNCYSHR BP STER TR
FXC	CRRNCYSHRS CAN DL TR
FXD	First Trust Exchange-Traded Fund
FXE	Currencyshares Euro Trust
FXF	CRRNCYSHR SW FR TR
FXG	First Trust Exchange-Traded Fund
FXH	First Trust Exchange-Traded Fund
FXI	Ishares Trust Ftse-xinhua China 25 Index Fund
FXL	First Trust Exchange-Traded Fund
FXM	CRRNCYSHR MEX PSO TR
FXN	First Trust Exchange-Traded Fund
FXO	First Trust Exchange-Traded Fund
FXP	ProShares Trust
FXS	CRRNCYSHR SW KRN TR
FXU	First Trust Exchange-Traded Fund
FXY	CRNCYSHRS JPN YEN TR
FXZ	First Trust Exchange-Traded Fund
FYR	Sapphire Industrials Corp.
FYR.U	Sapphire Industrials Corp.
FYR.W	Sapphire Industrials Corp.
FYX	First Trust Exchange-Traded Fund
FZN	Cuisine Solutions Inc
GAC	Geneva Acquisition Corporation
GAC.W	Geneva Acquisition Corporation
GAF	SPDR Index Fund
GAN	GAICO Inc.
GAZ	IPATH NAT GAS ETN
GBB	IPATH GBP/USD EXCHANGE RATE ET
GBC	Morgan Stanley
GBF	ISHARES LEHMAN GOVER
GBG	GREAT BASIN GOLD LTD
GBH	Green Builders Inc
GBO	Merrill Lynch & Co. Inc.
GBR	New Concept Energy Inc
GCC	GreenHaven Continuous Commodity Index Fund
GCE	CLAYMORE CEF CONNECT
GDX	Market Vectors ETF Trust
GEE	Global Entertainment Corporation
GEL	Genesis Energy L.P.
GEX	Globix Corp
GGA	GSC Acquisition Company
GGA.U	GSC Acquisition Company
GGA.W	GSC Acquisition Company
GGN	The Gabelli Global Goldn Natural Resources & Income Trust
GGN-A	The Gabelli Global Goldn Natural Resources & Income Trust
GGR	GeoGlobal Resources Inc.
GHC	Global Consumer Acquisition Corp
GHC.U	Global Consumer Acquisition Corp
GHC.W	Global Consumer Acquisition Corp
GHM	Graham Corporation
GHQ	GHL Acquisition Corp
GHQ.U	GHL Acquisition Corp
GHQ.W	GHL Acquisition Corp
GIA	Gulfstream International Group Inc
GII	streetTRACKS Index Funds
GIT	MORGAN STANLEY
GIW	Wilber Corporation
GKO	Merrill Lynch
GLA	Clark Holdings Inc
GLA.W	Clark Holdings Inc
GLD	Streettracks Gold Trust
GLL	Morgan Stanley
GLO	Clough Global Opportunities Fund
GLQ	Clough Global Equity Fund
GLU	Gabelli Global Utility
GLV	Clough Global Allocation Fund
GMF	SPDR Index Fund
GML	SPDR Index Fund
GMM	SPDR Index Fund
GMO	General Moly Inc
GNH	GLOBAL ENERGY
GOE	Credit Suisse Group
GOK	Geokinetics Inc.
GPH	Golden Pond Healthcare Inc
GPH.U	Golden Pond Healthcare Inc
GPH.W	Golden Pond Healthcare Inc
GPR	GeoPetro Resources Co
GQN	Global Brands Acquisition Corp
GQN.U	Global Brands Acquisition Corp
GQN.W	Global Brands Acquisition Corp
GRC	Gorman-Rupp Company (The)
GRF	Eagle Capital Growth Fund Inc.
GRH	GreenHunter Energy Inc
GRI	ALPS ETF Trust
GRN	Claymore Exchange-traded Fund Trust
GRU	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
GRZ	Gold Reserve Inc
GSB	GlobalSCAPE Inc.
GSC	GS CONNECT S& P GSCI ENH ANCED
GSG	ISHARES GSCI CMDTY
GSP	IPATH GSCI TRI ETN
GSS	Golden Star Resources Ltd
GST	Gastar Exploration
GSX	GASCO ENERGY INC
GTA	Golf Trust of America Inc.
GTE	Gran Tierra Energy Inc.
GTF	Cytomedix Inc. New
GTU	Central Gold Trust
GUR	SPDR Index Fund
GV	Goldfield Corporation (The)
GVI	Vi Group, Plc
GVP	GSE Systems Inc.
GW	Grey Wolf Inc.
GWL	SPDR Index Fund
GWO	CREDIT SUISSE ELEMEN
GWX	SPDR Index Fund
GXC	streetTracks Index Funds
GXG	GL
GZV	Merrill Lynch & Co. Inc.
HAO	Claymore Exchange-Traded Fund Trust 2
HAP	MKT VECTORS RVE ETF
HCM	Hanover Capital Mortgage Holdings Inc.
HDS	Alpha Security Group Corporation
HDS.U	Alpha Security Group Corporation
HDS.W	Alpha Security Group Corporation
HDY	HyperDynamics Corporation
HEB	Hemispherx BioPharma Inc.
HEV	Ener1 Inc
HFB	Merrill Lynch & Co. Inc.
HGI	Claymore Exchange-Traded Fund Trust 2
HH	Hooper Holmes Inc.
HHD	HEALTHSHARES DIAGNOS
HHH	Merrill Lynch Internet HOLDRS
HHK	HS CANCER ETF
HHV	HEALTHSHARES ENABLIN
HIA	Highlands Acquisition Corp
HIA.U	Highlands Acquisition Corp
HIA.W	Highlands Acquisition Corp
HKG	NETS HANGSENG IDX HK
